url,name,price,rating,number_of_reviews,description,product_description,asin,manufacturer
/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,2299,4.5,7727,Buy Safari Seek 45L Extra Large Polyester Hard Sided 4 Spinner Wheels Backpack Black from Laptop Backpacks at Amazon.in. 30 days free exchange or return,,B07BZ5VC4H,SafariIndustries(India)Ltd
/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,689,3.9,3843,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Bag/Backpack, Black & Orange | Office Bag for Men, Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B0BJ32LQ6X,AmazingBags
/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",639,4.1,6654,"Buy FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls (Grey) from Laptop Backpacks at Amazon.in. 30 days free exchange or return","Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.",B09VTCNN75,FURJADEN
/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/,Gear Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Bag/Office Backpack for Men/Women - Brown,798,4.4,6239,Buy Gear Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Bag/Office Backpack for Men/Women - Brown from Laptop Backpacks at Amazon.in. 30 days free exchange or return,"Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.",B07G4F6XFH,GearMerchandisePVTLTD
/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/,ADISA Laptop Backpack 31 Ltrs,349,4.0,9231,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B07G3CG9FC, Amazing Bags
/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,399,3.9,1397,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B09TPX22NF, Amazing Bags
/Step-Backpack-Small-Water-Repellant/dp/B088XG77KN/,"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant)",229,4.1,10270,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B088XG77KN, Amazing Bags
/Impulse-Diggy-Backpack-Resistant-Green/dp/B0CJHVCZZV/,Impulse Diggy 35L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,399,4.1,21,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B0CJHVCZZV, Amazing Bags
/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3S5NC1/,NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,540,4.0,1116,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B0BL3S5NC1, Amazing Bags
/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/,American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black,1399,4.3,1342,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B0BTD4S4XF, Amazing Bags
/TRUE-HUMAN-EMPEROR%C2%AEMulti-purpose-backpack-charging/dp/B0CCLKZ21R/,"TRUE HUMAN EMPEROR®Multi-purpose backpack With USB charging Port Laptop,office,college,travel bag for men and women (WIZ)",499,3.9,7,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B0CCLKZ21R, Amazing Bags
/Arctic-Fox-Backpack-Charging-Laptop/dp/B089QBD333/,Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),1299,4.5,4528,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B089QBD333, Amazing Bags
/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR/,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",499,3.7,461,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B0BYB631NR, Amazing Bags
/POLE-STAR-Polyester-Backpack-Compartment/dp/B07D6NXR2Q/,"POLESTAR Amaze 15.6 inch 30 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",549,4.0,6169,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B07D6NXR2Q, Amazing Bags
/Half-Moon-College-Spacious-Multiple/dp/B0C23Z9W18/,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,529,3.5,353,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B0C23Z9W18, Amazing Bags
/Impulse-Diggy-Backpack-Business-Resistant/dp/B0CJHV6RTS/,Impulse Diggy 35L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,399,4.1,21,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B0CJHV6RTS, Amazing Bags
/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/,American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Blue,999,4.2,921,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B0BTD4FK9G, Amazing Bags
/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM/,ADISA 31 Ltrs Casual Backpack School College Bag Pack,349,3.9,351,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B0BX3QFVSM, Amazing Bags
/NORTH-ZONE-Restant-Office-Backpack/dp/B0CJ38KTFS/,NORTH ZONE 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),449,4.6,3,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B0CJ38KTFS, Amazing Bags
/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BZW8KW18/,LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,429,3.5,144,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B0BZW8KW18, Amazing Bags
/Lenovo-Comfortable-Dedicated-Compartment-4X41C94115/dp/B09QCYXZ1H/,"Lenovo 16-inch Value Lite Backpack, Comfortable, Padded Back Panel, Slim and Sleek, Dedicated Laptop Compartment, Padded Shoulder Straps for Optimal Comfort and Ergonomic Support (4X41C94115)",649,4.6,24,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B09QCYXZ1H, Amazing Bags
/ROZEN-partition-Collage-Backpack-SKYBLUE/dp/B0BRTFGG22/,"ROZEN 47 Ltrs, 46 cms School Bag Class 5-12 Large 5 partition Laptop Collage Office Travel Backpack Unisex",697,4.1,344,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B0BRTFGG22, Amazing Bags
/American-Tourister-Polycarbonate-FS3-004/dp/B084W559G8/,"American Tourister Georgia 3 Pc Set 55 cms + 69 cms+ 79 cms- Small, Medium & Large Polycarbonate (PC) Hard Sided 4 Spinner Wheels Trolley Bags (Midnight Blue)",9999,4.0,3603,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B084W559G8, Amazing Bags
/Amazon-Basics-Casual-Backpack-15-6-inch/dp/B09W4WJ1CB/,Amazon Basics 20 ltrs Casual/Travel/College Backpack for 15.6-inch Laptop | Water Resistant Fabric,359,4.0,419,"Buy Half Moon Large 35L Water Resistant 17.3"" Laptop Backpack for Men, Light Blue | Office Bag for Women with Padded Laptop Compartment | Spacious & Multiple Pockets from Laptop Backpacks at Amazon.in. 30 days free exchange or return","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",B09W4WJ1CB, Amazing Bags
